Tous les articles (sauf vulgarisation)
Auteurs;Année;Année de soutenance;Titre;Titre journal;Année;Volume;Issue;Editeur scientifique;Titre ouvrage;Titre du volume;Lieu de publication;Editeur revue;Pages;Titre conférence;Date congrès;Ville;Pays;Patent n°;Date de publication;Type de rapport;N°;Organisme de délivrance;Pages;Date de publication;Directeur de thèse;Université de soutenance;Année de soutenance;Organisme de délivrance;NNT;URL;DOI;Pubmed;Référence locale;ArXiv;Description;Voir aussi;Fait référence à;Réf. HAL;ANR associated funding;EU associated funding;Rang HCERES (Economie-Gestion);Rang HCERES (Toutes disciplines);Rang CNRS;Commentaire;Référence interne
Yang L., Normand J.-M., Moreau G.;2015;;Local Geometric Consensus: A General Purpose Point Pattern-Based Tracking Algorithm;IEEE Transactions on Visualization and Computer Graphics;;21;11;;;;;;1299-1308;;;;;;;;;;;;;;;;;http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=7165652;10.1109/TVCG.2015.2459897;;;;;;;hal-01276767;;;;;;;
Angiboust S., Dousson X., Melemis S., Tixier N.;2014;;Retour vers le futur. « Études sur Paris », un film d’André Sauvage (1928);Les Cahiers de la recherche architecturale / Les Cahiers de la recherche architecturale et urbaine;;;n°30-31;;;;;;pp. 207-235;;;;;;;;;;;;;;;;;;;;;;;;;hal-01520075;;;;;;;
Bonicco-Donato C.;2014;;De la philosophie morale humienne à l’éthique du care : un billet aller-retour;Cahiers philosophiques;;;136;;;;;;p. 7-23;;;;;;;;;;;;;;;;;http://www.cairn.info/revue-cahiers-philosophiques.htm;;;;;;;;hal-01493219;;;;;;;
Bouhoun Ali H., Bournet P.-E., Danjou V., Morille B., Migeon C.;2014;;CFD simulations of the night-time condensation inside a closed glasshouse: Sensitivity analysis to outside external conditions, heating and glass properties;Biosystems Engineering;;127;;;;;;;159-175;;;;;;;;;;;;;;;;;;10.1016/j.biosystemseng.2014.08.017;;;;;;;hal-01526013;;;;;;;
Chelkoff G.;2014;;Lo spazio sonoro in azione : l'architettura come strumento fonico;le arti del suono;;;7;;;;;;;;;;;;;;;;;;;;;;;http://leartidelsuono.altervista.org/indice7.htm;;;;;;;;halshs-01295521;;;;;;;
Fiori S., Thomas R.;2014;;Etre piéton à Salvador de Bahia et Caracas : une proximité fragilisée ?;Géoregards;;;6;;;;;;83-96;;;;;;;;;;;;;;;;;http://www.alphil.com/freedownload.php?sku=Géo-Regard%206%20article%205;;;;;;;;hal-01241194;;;;;;;
Garcia Sanchez D., Lacarrière B., Bourges B., Musy M.;2014;;Application of sensitivity analysis in building energy simulations: Combining first- and second-order elementary effects methods;Energy and Buildings;;68, Part C;;;;;;;741-750;;;;;;;;;;;;;;;;;;10.1016/j.enbuild.2012.08.048;;;;;;;hal-00947577;;;;;;;
Malys L., Musy M., Inard C.;2014;;A hydrothermal model to assess the impact of green walls on urban microclimate and building energy consumption;Building and Environment;;73;;;;;;;187-197;;;;;;;;;;;;;;;;;;10.1016/j.buildenv.2013.12.012;;;;;;;hal-01870606;;;;;;;
Masson D.;2014;;Rythmanalyse des parcours ordinaires;L'esprit des villes : revue annuelle d'architecture et d'urbanisme;;;1;;;;;;195-203;;;;;;;;;;;;;;;;;;;;;;;;;hal-03257513;;;;;;;
Nicolas A., Zanetti T.;2014;;Usages de la mémoire dans les projets de renouvellement urbain: le cas des espaces hérités de l’industrie française;Articulo - Journal of Urban Research;;Special Issue 5;;;;;;;;;;;;;;;;;;;;;;;;;10.4000/articulo.2464;;;;;;;halshs-01316532;;;;;;;
Pecqueux A.;2014;;Retrouver la face par la participation : Ethnographie de la fragile élaboration d’une oeuvre d’art par des adolescents d’un quartier populaire;Participations - Revue de sciences sociales sur la démocratie et la citoyenneté;;;9;;;;;;125-148;;;;;;;;;;;;;;;;;;10.3917/parti.009.0125;;;;;;;hal-01083230;;;;;;;
Piombini A., Leduc T., Woloszyn P.;2014;;Usage de la morphométrie dans la révélation des préférences de mobilité. Application aux cheminements piétons;Revue Internationale de Géomatique;;24;1;;;;;;101-130;;;;;;;;;;;;;;;;;http://archives.rig.revuesonline.com/article.jsp?articleId=19253;10.3166/rig.24.101-130;;;;;;;hal-01345703;;;;;;;
Riedel I., Gueguen P., Dalla Mura M., Pathier E., Leduc T., Chanussot J.;2014;;Seismic vulnerability assessment of urban environments in moderate-to-low seismic hazard regions using association rule learning and support vector machine methods;Natural Hazards;;76;2;;;;;;1111-1141;;;;;;;;;;;;;;;;;;10.1007/s11069-014-1538-0;;;;;;;hal-01121491;;;;;;;
Simonnot N., Siret D.;2014;;Héritage industriel et mémoire sensible : observations sur la constitution d'un "patrimoine sensoriel";L'homme et la société;;;192;;;;;;127-142;;;;;;;;;;;;;;;;;http://www.editions-harmattan.fr/index.asp?navig=catalogue&obj=revue&no=20;10.3917/lhs.192.0127;;;;;;;halshs-01246944;;;;;;;
Siret D.;2014;;Une utopie artistique solaire urbaine des années 1960 : L’hélioplastique de Mieczyslaw Twarowski. Analyse critique et propositions pour une esthétique solaire urbaine contemporaine;Environnement Urbain / Urban Environment;;8;;;;;;;http://id.erudit.org/iderudit/1027737ar;;;;;;;;;;;;;;;;;http://id.erudit.org/iderudit/1027737ar;10.7202/1027737ar;;;;;;;halshs-01246803;;;;;;;
Spanlang B., Normand J.-M., Borland D., Kilteni K., Giannopoulos E., Pomes A., Gonzalez-Franco M., Perez-Marcos D., Arroyo-Palacios J., Muncunill X. N., Slater M.;2014;;How to Build an Embodiment Lab: Achieving Body Representation Illusions in Virtual Reality;Frontiers in Robotics and AI;;1;;;;;;;;;;;;;;;;;;;;;;;;;10.3389/frobt.2014.00009;;;;;;;hal-01812797;;;;;;;
Thibaud J.-P.;2014;;Listening to urban sounds;Urbanistica;;;n°153;;;;;;pp. 122-126;;;;;;;;;;;;;;;;;;;;;;;;;hal-01560163;;;;;;;
Thibaud J.-P.;2014;;Urban Ambiances as Common Ground ?;Lebenswelt. aesthetics and philosophy of experience;;;n°4;;;;;;pp. 282-295;;;;;;;;;;;;;;;;;;;;;;;;;hal-01560138;;;;;;;
Torgue H.;2014;;Carlotta Darò, Avant-gardes sonores en architecture : Note de lecture;Ambiances. Environnement sensible, architecture et espace urbain;;;;;;;;;;;;;;;;;;;;;;;;;;http://ambiances.revues.org/424;;;;;;;;hal-01505443;;;;;;;
Welter M.-L., Schüpbach M., Czernecki V., Karachi C., Fernandez-Vidal S., Golmard J.-L., Serra G., Navarro S., Welaratne A., Hartmann A., Mesnage V., Pineau F., Cornu P., Pidoux B., Worbe Y., Zikos P., Grabli D., Galanaud D., Bonnet A.-M., Belaid H., Dormont D., Vidailhet M., Mallet L., Houeto J.-L., Bardinet E., Yelnik J., Agid Y.;2014;;Optimal target localization for subthalamic stimulation in patients with Parkinson disease;Neurology;;82;15;;;;;;1352-61;;;;;;;;;;;;;;;;;;10.1212/WNL.0000000000000315;;;;;;;hal-01251658;;;;;;;
Adey P., Brayer L., Masson D., Murphy P., Simpson P., Tixier N.;2013;;Pour votre tranquillité": ambiance, atmosphere, and surveillance";Geoforum;;49;;;;;;;299-309;;;;;;;;;;;;;;;;;http://www.sciencedirect.com/science/article/pii/S0016718513001140;10.1016/j.geoforum.2013.04.028;;;;;;;hal-00978316;;;;;;;
Amphoux P., Hüsler C.;2013;;L'aménagement paysager et la réhabilitation de la chartreuse de la Valsainte;Revue scientifique et technique des monuments historiques;;;1;;;;;;98-101;;;;;;;;;;;;;;;;;;;;;;;;;hal-00995555;;;;;;;
Beyssens D., Broggini F., Milimouk-Melnytchouk I., Ouazzani J., Tixier N.;2013;;New architectural forms to increase dew collection;Chemical Engineering Transactions;;34;;;;;;;79-84;;;;;;;;;;;;;;;;;;;;;;;;;hal-00978323;;;;;;;
Bozonnet E., Musy M., Calmet I., Rodriguez F.;2013;;Modeling methods to assess urban fluxes and heat island mitigation measures from street to city scale;International Journal of Low-Carbon Technologies;;;;;;;;;1-16;;;;;;;;;;;;;;;;;;10.1093/ijlct/ctt049;;;;;;;hal-01145181;;;;;;;
Brayer L.;2013;;Appréhender, partager et concevoir le paysage en pratique à partir de dispositifs filmiques;Articulo - Journal of Urban Research;;;4;;;;;;1-14;;;;;;;;;;;;;;;;;http://articulo.revues.org/;10.4000/articulo.2241;;;;;;;hal-00978325;;;;;;;
Brayer L.;2013;;Filmer l'ambiance urbaine : Les dispositifs vidéographiques à l'œuvre chez William H. Whyte dans La vie sociale des petits espaces urbains;Ambiances. Environnement sensible, architecture et espace urbain;;;;;;;;;1-12;;;;;;;;;;;;;;;;;http://ambiances.revues.org/;;;;;;;;hal-00980734;;;;;;;
Chelkoff G., Paris M.;2013;;Des jardins pour ménager les bords de route;Anthos. L'architecture du paysage en France;;;1;;;;;;34-37;;;;;;;;;;;;;;;;;;;;;;;;;hal-00978327;;;;;;;
Meigneux G.;2013;;Habitations Légèrement Modifiées : L'espace contemporain au quotidien.;Cahiers thématiques;;12;;;;;;;252;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00834404;;;;;;;
Meigneux G.;2013;;Vidéographie descriptive : le travelling. Esquisse méthodologique pour une approche paysagère;Articulo - Journal of Urban Research;;;4;;;;;;1-24;;;;;;;;;;;;;;;;;;10.4000/articulo.2271;;;;;;;hal-00978337;;;;;;;
Moreno P., Simonnot N., Siret D.;2013;;Ambiances à vendre : la représentation des personnages dans les supports de promotion des projets immobiliers;Cahiers thématiques;;12;;;;;;;121-129;;;;;;;;;;;;;;;;;;;;;;;;;halshs-01246934;;;;;;;
Nicolas A., Zanetti T.;2013;;Patrimoine et projet urbain : produire et valoriser la localité à Saint-Étienne, Nantes et Clermont-Ferrand;Espaces et sociétés (Paris, France);;;;;;;;;;;;;;;;;;;;;;;;;;;10.3917/esp.152.0181;;;;;;;halshs-01427608;;;;;;;
Paris M.;2013;;Habiter et cohabiter grâce au jardin;Jardins de France. Revue de la Société Nationale d'Horticulture de France;;;625;;;;;;1-2;;;;;;;;;;;;;;;;;;;;;;;;;hal-00995566;;;;;;;
Pecqueux A.;2013;;Tempesta sonora o fuoco di campo sonoro. Do the Right Thing, interazione e ascolto musicale (in) pubblico = Sonic storm or sonic field fire: Do the Right Thing, interaction and music listening in public;Studi culturali;;;1;;;;;;53-70;;;;;;;;;;;;;;;;;;;;;;;;;hal-00978340;;;;;;;
Petit A., Siret D., Simonnot N.;2013;;Nouveaux usages de la couleur dans les espaces urbains;URBIA. Les Cahiers du développement urbain durable;;;;;;;;;p. 113-124;;;;;;;;;;;;;;;;;https://www.unil.ch/ouvdd/home/menuinst/nos-editions/urbia/hors-serie-1--avril-2013.html;;;;;;;;hal-02477926;;;;;;;
Romieu P.;2013;;Panthère, furtif paysage. A propos de la panthère entrevue des hauts paysages provençaux;Verdons;;;41;;;;;;102-107;;;;;;;;;;;;;;;;;;;;;;;;;hal-00995570;;;;;;;
Said N. G.;2013;;Cairo behind the gates : Studying the sensory configuration of Al-Rehab City;Ambiances. Environnement sensible, architecture et espace urbain;;In situ - Ecologie sociale;;;;;;;http://ambiances.revues.org/252;;;;;;;;;;;;;;;;;;;;;;;;;hal-01324053;;;;;;;
Siret D.;2013;;Rayonnement solaire et environnement urbain : de l’héliotropisme au désenchantement, histoire et enjeux d’une relation complexe;Développement durable et territoires;;4;2;;;;;;;;;;;;;;;;;;;;;;;http://developpementdurable.revues.org/9767;10.4000/developpementdurable.9767;;;;;;;halshs-01246933;;;;;;;
Thibaud J.-P.;2013;;Commented City Walks;Wi: Journal of Mobile Culture;;vol.7;n°1;;;;;;pp.1-32;;;;;;;;;;;;;;;;;;;;;;;;;hal-00980752;;;;;;;
Thibaud J.-P.;2013;;Dare il tono ai territori;Lebenswelt. aesthetics and philosophy of experience;;;3;;;;;;75-91;;;;;;;;;;;;;;;;;http://riviste.unimi.it/index.php/Lebenswelt/article/view/3477/3646;10.13130/2240-9599/3477;;;;;;;hal-00980754;;;;;;;
Thibaud J.-P.;2013;;Ouverture au monde sensible;Ambiances. Environnement sensible, architecture et espace urbain;;;;;;;;;1-2;;;;;;;;;;;;;;;;;http://ambiances.revues.org/176;;;;;;;;hal-00980755;;;;;;;
Thibaud J.-P., Amphoux P.;2013;;Silencing the city?;SoundEffects - An Interdisciplinary Journal of Sound and Sound Experience;;vol. 3;n°3;;;;;;pp. 62-70;;;;;;;;;;;;;;;;;;;;;;;;;hal-01560105;;;;;;;
Thomas R., Dultra Britto F.;2013;;Entrevista Rachel Thomas por Fabiana Dultra Britto;Redobra;;4;12;;;;;;9-11;;;;;;;;;;;;;;;;;;;;;;;;;hal-00980759;;;;;;;
Balaÿ O.;2012;;Stridence et chuchotements : la symphonie des machines et des portes au XIXe siècle;Communications;;;90;;;;;;35-52;;;;;;;;;;;;;;;;;;10.3406/comm.2012.2652;;;;;;;hal-00978321;;;;;;;
Fiori S., Cifuentes C.;2012;;El urbanismo y lo urbano en la transformación de Bogotá. Discursos expertos y palabras de los habitantes;DEARQ - Revista de arquitectura de la Universidad de los Andes (Bogotà);;;11;;;;;;138-147;;;;;;;;;;;;;;;;;;;;;;;;;hal-00980737;;;;;;;
Hamaina R., Leduc T., Moreau G.;2012;;Caractérisation des tissus urbains à partir de l’analyse structurelle des réseaux viaires;Cybergeo : Revue européenne de géographie / European journal of geography;;;;;;;;;;;;;;;;;;;;;;;;;;;10.4000/cybergeo.25009;;;;;;;halshs-01345699;;;;;;;
He S., Martin J.-Y., Moreau G.;2012;;Footprint-Based Generalization of 3D Building Groups at Medium Level of Detail for Multi-Scale Urban Visualization;International Journal On Advances in Software;;5;34;;;;;;377-387;;;;;;;;;;;;;;;;;http://www.iariajournals.org/software/soft_v5_n34_2012_paged.pdf;;;;;;;;hal-01276772;;;;;;;
Kazig R.;2012;;Konturen einer situativen Umweltästhetik;Geographische Zeitschrift;;100;2;;;;;;84-102;;;;;;;;;;;;;;;;;http://www.ingentaconnect.com/contentone/fsv/gz/2012/00000100/00000002/art00002;;;;;;;;hal-00978334;;;;;;;
Leroy L., Fuchs P., Moreau G.;2012;;Real-time adaptive blur for reducing eye strain in stereoscopic displays;ACM Transactions on Applied Perception;;9(2);;;;;;;p. 1-18. ISSN: 1544-3558;;;;;;;;;;;;;;;;;;10.1145/2207216.2207220;;;;;;;hal-00783076;;;;;;;
Leroy L., Fuchs P.*, Moreau G.;2012;;Visual Fatigue Reduction for Immersive Stereoscopic Displays by Disparity, Content, and Focus-Point Adapted Blur;IEEE Transactions on Industrial Electronics;;59(10);;;;;;;3998-4004;;;;;;;;;;;;;;;;;;;;;;;;;hal-00783075;;;;;;;
Leroy L., Fuchs P., Moreau G.;2012;;Real-time adaptive blur for reducing eye strain in stereoscopic displays;ACM Transactions on Applied Perception;;9;2;;;;;;1-18;;;;;;;;;;;;;;;;;;;;;;;;;hal-01015057;;;;;;;
Leroy L., Fuchs P., Moreau G.;2012;;Visual fatigue reduction for immersive stereoscopic displays by disparity, content and focus-point adapted blur;IEEE Transactions on Industrial Electronics;;59;10;;;;;;3998-4004;;;;;;;;;;;;;;;;;;10.1109/TIE.2011.2171173;;;;;;;hal-01015096;;;;;;;
Masson D.;2012;;Expériences sensibles de la mobilité urbaine;Les Cahiers de la recherche architecturale / Les Cahiers de la recherche architecturale et urbaine;;;26/27;;;;;;136-143;;;;;;;;;;;;;;;;;;10.4000/crau.563;;;;;;;halshs-00918760;;;;;;;
Meigneux G.;2012;;Vidéographie territoriale, retour d'expérimentation : la vidéo mosaïque;Les Carnets du paysage;;;23;;;;;;212-229;;;;;;;;;;;;;;;;;;;;;;;;;hal-00978336;;;;;;;
Meigneux G.;2012;;Vidéographie territoriale : Retour d'expérimentation : le portrait mosaïque;Les Carnets du paysage;;;n°23, "Paysages en migrations";;;;;;Rubrique "Varia", p.212-229.;;;;;;;;;;;;;;;;;;;;;;;;;hal-00780739;;;;;;;
Pecqueux A.;2012;;Introduction : Le son des choses, les bruits de la ville;Communications;;;90;;;;;;5-16;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00715914;;;;;;;
Pecqueux A.;2012;;Les "affordances" des événements: des sons aux événements urbains;Communications;;;90;;;;;;215-227;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00715915;;;;;;;
Pecqueux A.;2012;;Pour une approche écologique des expériences urbaines;Tracés : Revue de Sciences Humaines;;;22;;;;;;27-41;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00715938;;;;;;;
Siret D.;2012;;Soleil, lumière et chaleur dans l’architecture moderne : excursions dans l’œuvre de Le Corbusier;L'émoi de l'Histoire;;34;;;;;;;177-193;;;;;;;;;;;;;;;;;;;;;;;;;halshs-01246943;;;;;;;
Thibaud J.-P.;2012;;A cidade a través dos sentidos;Cadernos Proarq. Revista de arquitetura e urbanismo do Proarq;;;18;;;;;;1-16;;;;;;;;;;;;;;;;;http://www.proarq.fau.ufrj.br/revista/public/docs/Proarq18_ACidade_JeanThibaud.pdf;;;;;;;;hal-00980748;;;;;;;
Thibaud J.-P.;2012;;O devir ambiente do mundo urbano;Redobra;;;9;;;;;;30-36;;;;;;;;;;;;;;;;;http://www.redobra.ufba.br/wp-content/uploads/2012/04/redobra9_O-devir-ambiente-do-mundo-urbano.pdf;;;;;;;;hal-00980749;;;;;;;
Thibaud J.-P.;2012;;Petite archéologie de la notion d'ambiance;Communications;;;90;;;;;;155-174;;;;;;;;;;;;;;;;;;;;;;;;;hal-00978345;;;;;;;
Thibaud J.-P.;2012;;The city through the senses;Cadernos Proarq. Revista de arquitetura e urbanismo do Proarq;;;18;;;;;;1-16;;;;;;;;;;;;;;;;;http://www.proarq.fau.ufrj.br/revista/public/docs/Proarq18_TheCity_JeanThibaud.pdf;;;;;;;hal-00980748;hal-00980751;;;;;;;
Thomas R.;2012;;Crítica e engajamento : Posturas de apreensão sensível da cidade contemporânea;Redobra;;;10;;;;;;p. 207-216;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00750924;;;;;;;
Amphoux P.;2011;;Le bruit dans la ville : dix fragments pour une écologie sonore;Place publique (Nantes);;;n° 25;;;;;;pp. 130-133;;;;;;;;;;;;;;;;;;;;;;;;;hal-00995548;;;;;;;
Balaÿ O., Desèvedavy G., Madec P.;2011;;L'atmosphère de la multitude;Faces, Journal d'architecture;;;68;;;;;;52-55;;;;;;;;;;;;;;;;;;;;;;;;;hal-00978322;;;;;;;
Bonicco-Donato C.;2011;;Le self, un concept nomade : des Lumières écossaises à l’Ecole de Chicago en passant par le pragmatisme;Cahiers Philosophiques de Strasbourg;;28;2;;;;;;101-126;;;;;;;;;;;;;;;;;http://pus.unistra.fr/fr/livre/?GCOI=28682100872990;;;;;;;;hal-01493297;;;;;;;
Bouyer J., Musy M., Inard C.;2011;;Microclimatic coupling as a solution to improve building energy simulation in an urban context;Energy and Buildings;;43;7;;;;;;1549-1559;;;;;;;;;;;;;;;;;;10.1016/j.enbuild.2011.02.010;;;;;;;hal-01870609;;;;;;;
Chelkoff G.;2011;;Contribution to a phono-kinetic approach : An architectural experiment to design a public shelter;SoundEffects;;1;1;;;;;;98-116;;;;;;;;;;;;;;;;;;;;;;;;;hal-00980736;;;;;;;
Henon A., Mestayer P., Groleau D., Voogt J.;2011;;High resolution thermo-radiative modeling of an urban fragment in Marseilles city center during the UBL-ESCOMPTE campaign;Building and Environment;;46;;;;;;;1747-1764;;;;;;;;;;;;;;;;;;10.1016/j.buildenv.2011.02.001;;;;;;;hal-01145124;;;;;;;
Kazig R., Popp M.;2011;;Unterwegs in fremden Umgebungen. Ein praxeologischer Zugang zum Wayfinding von Fußgängern;Raumforschung und Raumordnung;;69;1;;;;;;3-15;;;;;;;;;;;;;;;;;http://link.springer.com/article/10.1007/s13147-010-0075-x;;;;;;;;hal-00978335;;;;;;;
Meigneux G.;2011;;Vidéo et architecture au-delà du décor cinématographique, une approche transdisciplinaire;Oscillations;;;;;;;;;14-33;;;;;;;;;;;;;;;;;;;;;;;;;hal-00980739;;;;;;;
Roux J.-M., Tixier N.;2011;;Urbanités et conquête de l'Ouest : Deadwood versus La petite maison dans la prairie;Métropolitiques.eu;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00703246;;;;;;;
Siret D.;2011;;Les enveloppes solaires de Ralph Knowles, ou les ambivalences d'un modèle de régulation des formes urbaines;Lieux Communs - Les Cahiers du LAUA;;;n° 14;;;;;;p. 195-206;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00762720;;;;;;;
Thibaud J.-P.;2011;;A Sonic Paradigm of Urban Ambiances;Journal of Sonic Studies;;1;1;;;;;;1-14;;;;;;;;;;;;;;;;;;;;;;;;;hal-00980746;;;;;;;
Thibaud J.-P.;2011;;The Sensory Fabric of Urban Ambiances;Senses and Society;;6;2;;;;;;203-215;;;;;;;;;;;;;;;;;;;;;;;;;hal-00978343;;;;;;;
Uchiyama H., Saito H., Servières M., Moreau G.;2011;;Camera tracking by online learning of keypoint arrangements using LLAH in augmented reality applications;Virtual Reality;;15;;;;;;;;;;;;;;;;;;;;;;;;;10.1007/s10055-010-0173-7;;;;;;;hal-01521143;;;;;;;
Woloszyn P., Albisser E., Depeau S., Leduc T., Luckel F., Piombini A.;2011;;PirVE AMBIOFLUX. Caractérisation interdisciplinaire et intersectorielle des attracteurs paysagers des ambiances piétonnes du quartier de Hautepierre à Strasbourg;ESO Travaux et Documents;;31;;;;;;;7-17;;;;;;;;;;;;;;;;;http://eso.cnrs.fr/fr/publications/eso-travaux-et-documents/n-31-mai-2011.html;;;;;;;;hal-01491479;;;;;;;
Zaki C., Zekri E., Servières M., Moreau G., Hégron G.;2011;;Generic modeling of application and spatiotemporal data : application to the study of pedestrian behavior;Intelligent decision technologies;;5;4;;;;;;297-302;;;;;;;;;;;;;;;;;;10.3233/IDT-2011-0113;;;;;;;hal-01521142;;;;;;;
Andris M., Aradottir G. I., Arnau G., Audzijonyte A., Bess E. C., Bonadonna F., Bourdel G., Bried J., Bugbee G. J., Burger P. A., Chair H., Charruau P. C., Ciampi A. Y., Costet L., Debarro P. J., Delatte H., Dubois M.-P., Eldridge M. D. B., England P. R., Enkhbileg D., Fartek B., Gardner M. G., Gray K.-A., Gunasekera R. M., Hanley S. J., Havil N., Hereward J. P., Hirase S., Hong Y., Jarne P., Jianfei Q., Johnson R. N., Kanno M., Kijima A., Kim H. C., Kim K. S., Kim W.-J., Larue E., Lee J. W., Lee J.-H., Li C., Liao M., Lo N., Lowe A. J., Malausa T., Malé P.-J., Marko M. D., Martin J.-F., Messing R., Miller K. J., Min B.-W., Myeong J.-I., Nibouche S., Noack A. E., Noh J. K., Orivel J., Park C.-J., Petro D., Prapayotin-Riveros K., Quilichini A., Reynaud B., Riginos C., Risterucci A. M., Rose H. A., Sampaio I., Silbermayr K., Silva M. B., Tero N., Thum R. A., Vinson C. C., Vorsino A., Vossbrinck C. R., Walzer C., White J. C., Wieczorek A., Wright M.;2010;;Permanent Genetic Resources added to Molecular Ecology Resources Database 1 June 2010 - 31 July 2010;Molecular Ecology Resources;;10;6;;;;;;1106-1108;;;;;;;;;;;;;;;;;;10.1111/j.1755-0998.2010.02916.x;;;;;;;hal-01094222;;;;;;;
Chelkoff G.;2010;;Pour une conception modale des ambiances architecturales;Faces, Journal d'architecture;;;67;;;;;;18-23;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00932872;;;;;;;
Drozd C., Meunier V., Simonnot N., Hégron G.;2010;;La représentation des ambiances dans le projet d’architecture, Analyse comparative de deux approches des ambiances aux modes de représentation variés.;Sociétés & Représentations;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hal-01275009;;;;;;;
Idczak M., Groleau D., Mestayer P., Rosant J.-M., Sini J.-F.;2010;;An application of the thermo-radiative model SOLENE for the evaluation of street canyon energy balance;Building and Environment;;45;;;;;;;1262-1275;;;;;;;;;;;;;;;;;;10.1016/j.buildenv.2009.11.011;;;;;;;hal-01145095;;;;;;;
Péneau J.-P.;2010;;La recherche sur les ambiances, récit d’un fondateur : Entretien avec Jean-Pierre Péneau;Culture et recherche;;;122-123;;;;;;51;;;;;;;;;;;;;;;;;https://www.culture.gouv.fr/var/culture/storage/lettre-recherche/cr122-123.pdf;;;;;;;;halshs-03204150;;;;;;;
Thibaud J.-P.;2010;;Towards a praxiology of sound environment;Sensory Studies - Sensorial Investigations;;;;;;;;;1-7;;;;;;;;;;;;;;;;;;;;;;;;;hal-00980744;;;;;;;
Tixier N.;2010;;Le couple témoin”, un film de William Klein;Lieux Communs - Les Cahiers du LAUA;;;13;;;;;;216;;;;;;;;;;;;;;;;;;;;;;;;;hal-02870488;;;;;;;
Tourre V., Miguet F.;2010;;Lighting Intention Materialization with a Light-Based Parametric Design Model;International Journal of Architectural Computing;;8;4;;;;;;507;;;;;;;;;;;;;;;;;;10.1260/1478-0771.8.4.507;;;;;;;hal-01502786;;;;;;;
Woloszyn P.*, Leduc T.;2010;;Urban Soundmarks Psychophysical Geodimensioning: Towards Ambient Pointers Geosystemic computation;Journal of Service Science and Management;;3;4;;;;;;429-439;;;;;;;;;;;;;;;;;http://www.scirp.org/journal/PaperInformation.aspx?paperID=3392;10.4236/jssm.2010.34049;;;;;;;hal-01345710;;;;;;;
Amphoux P., Hüsler C.;2009;;Aménagement paysager des espaces et cheminements publics de la partie sud du métro M2 à Lausanne;Locus Territoires, gpA [Lausanne];;;;;;;;;10-13;;;;;;;;;;;;;;;;;;;;;;;;;hal-00995554;;;;;;;
Amphoux P.;2009;;Au seuil de l'intimité;VISO;;;Supplément au n°2 (28 avril 2009);;;;;;pp. 31-55;;;;;;;;;;;;;;;;;;;;;;;;;hal-00995550;;;;;;;
Amphoux P.;2009;;L'innovation architecturale n'est pas toujours là où on l'attend;Culture et recherche;;;121;;;;;;22-23;;;;;;;;;;;;;;;;;http://www.culturecommunication.gouv.fr/Thematiques/Enseignement-superieur-et-Recherche/La-revue-Culture-et-Recherche/Recherche-creativite-innovation;;;;;;;;hal-00995551;;;;;;;
Amphoux P.;2009;;La notion de motif, un outil d'analyse et de projétation des rapports entre urbanisation et naturation dans les territoires suburbains;Les cahiers de l'ASPAN;;;1;;;;;;12-15;;;;;;;;;;;;;;;;;;;;;;;;;hal-00995552;;;;;;;
Augoyard J.-F., Torgue H.;2009;;De sonishe ervaring. Een gids van alledaagse geluiden (geselecteerde passages) / Sonic Experience, A Guide to Everydays Sounds (selected excerpts);OASE Tidschrift voor architectuur / Journal for Architecture;;;78;;;;;;126-137;;;;;;;;;;;;;;;;;http://www.oasejournal.nl/;;;;;;;;hal-00980729;;;;;;;
Augoyard J.-F.;2009;;Les villes ont-elles une couleur sonore ?;La Géographie : terre des Hommes;;;6;;;;;;40-43;;;;;;;;;;;;;;;;;;;;;;;;;hal-00995559;;;;;;;
Bioret N., Moreau G., Servières M.;2009;;Géolocalisation en milieu urbain par appariement entre une collection d'images et un SIG 2D;Revue des Sciences et Technologies de l'Information - Série ISI : Ingénierie des Systèmes d'Information;;14;5;;;;;;107-131;;;;;;;;;;;;;;;;;;10.3166/isi.14.5.107-131;;;;;;;hal-01521145;;;;;;;
Bonicco-Donato C.;2009;;La ville comme forme de la vie moderne L'étranger et le passant dans la philosophie de Georg Simmel;Cahiers philosophiques;;;118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hal-01501170;;;;;;;
Bonicco-Donato C.;2009;;Rôle social, représentation et mauvaise foi chez Erving Goffman. Variations sur un thème sartrien;Alter : revue de phénoménologie;;17;;;;;;;;;;;;;;;;;;;;;;;;http://revue-alter.org/alt17.htm;;;;;;;;hal-01493299;;;;;;;
Dumont M.;2009;;Libérez les sciences sociales avant qu'elles n'étouffent ! Enquête sur le libre-savoir scientifique;EspacesTemps.net;;;;;;;;;http://espaces temps.net/document7903.html;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00623175;;;;;;;
